audio_number,sentence,surprisal_value
30,"в същност тя не „заставаше, а някак витаеше наоколо му като една сянка, която неочаквано беше добила едно ново измерение, плътността.",12.478182792663574
31,както е известно светът не е останал без добри хора.,12.079752922058105
32,"сега той почна едно сепнато pizzicato, което по негово мнение изображаваше песента: „открадна-ла сей, бабината, сла-сланин-каа, сланинка, откраднала сей бабината сланинка“… която „сланинка “цяла е открадната от чешката „slaninka“.",10.15281867980957
33,"с една дума, всички бяха затънали в работа до гуша…",12.048072814941406
34,"дето се вика, останаха с пръст и устата!",13.105416297912598
35,"момичето бързешком извади парите и ги хвърли в найлоновия плик, но съдейки по всичко, сумата бе смехотворна.",9.475626945495605
36,"пишете, за бога, пишете, ще чакам!",11.871404647827148
37,но все пак… моля ви да си спомните накъде хукна другият престъпник.,11.715506553649902
38,тази операция е скъпа още и заради бащините чувства.,13.191712379455566
39,за кавказ ли е? равнодушно попита колка.,12.922516822814941
40,"ами той, ако искаш да знаеш, дори мислите ни чува! камо ли разговорите…",8.687070846557617
41,"той имаше сбръчкано личице, редички бели косици и напрегнат и едва ли не страхлив поглед.",9.78170108795166
42,"от двайсет и пет години насам, професоре, кълна ви се, нищо подобно.",10.310125350952148
43,"добре де, пошегувах се, имам само едно огледало и то се намира в антрето…",11.352998733520508
44,"— без друго тая мръсница — каза той — ще да е изпуснала писалката из ливадата — и заедно с коста отидоха нататък, наведени из ливадата.",11.757100105285645
45,"колкото за самата епидемия, той не се вълнуваше никак от нея и я считаше почти като сезонно явление, подобно на лятната диария по кърмачетата.",11.714456558227539
46,"това още преди две години и половина го знаех и две години и половина вече мисля за това именно, че «дунечка много неща може да понесе».",11.040138244628906
47,дебнете ме? как ли пък не! знаех си аз!,11.460128784179688
48,"почваше да й се струва, че това не е непознат, незнайно как попаднал в тяхното семейство летец, а нейният миша, че не тоя неочакван гост, а нейният мъж, с когото бе прекарала всичко на всичко една пролет.",10.448944091796875
49,"въпреки че вечерта бе топла, мириса потръпна и потърси ръката на брант.",10.67436408996582
50,първите истински телескопи в европа обаче са направени в края на 16-ти век.,9.276764869689941
51,"затова, без да се колебая пито миг, ще направя „кръгом “на място в снега и ще тръгна редом с моята нова позната.",11.167611122131348
52,"считам, че можем да отстъпваме и по-нататък, чак до харбин.",9.400558471679688
53,"то беше луксозно, от махагон и с бронзова дръжка във вид на сфинкс върху пиедестал.",10.419350624084473
54,поне от страна на булката.,12.995327949523926
55,а по повод на вашия татко приемете най-искрените ми.,12.152931213378906
56,по силата на различни причини това е много неудобно.,11.794295310974121
57,"пастирчето отишло с магарето за дърва, недалече от кошарите.",10.297065734863281
58,"или как другояче да ви разбираме – нека вълците да се размножават, да разкъсват нашите стада, да живеят за сметка на народната собственост?",12.343155860900879
59,това ще е полезно и за самия сарафин при преминаването му в следващото битие след свършването на земния му път.,10.88762378692627
60,"трето, с оглед на обстановката уточнявам плана си за действие.",12.161613464355469
